구코드,구명,분기코드,점포수,카테고리,점포수_증감률,폐업률,점포수_gap,폐업률_delta,폐업률_gap,카테고리_코드
11680,강남구,2023Q1,587,분식전문점,0.0,0.0,0,0.0,0.0,SNACK
11680,강남구,2023Q2,630,분식전문점,0.0733,0.0681,43,0.0,0.0,SNACK
11680,강남구,2023Q3,615,분식전문점,-0.0238,0.0968,-15,0.4209,0.0287,SNACK
11680,강남구,2023Q4,615,분식전문점,0.0,0.0553,0,-0.429,-0.0415,SNACK
11680,강남구,2024Q1,603,분식전문점,-0.0195,0.1057,-12,0.9118,0.0504,SNACK
11680,강남구,2024Q2,583,분식전문점,-0.0332,0.0547,-20,-0.4822,-0.051,SNACK
11680,강남구,2024Q3,559,분식전문점,-0.0412,0.0429,-24,-0.2164,-0.0118,SNACK
11680,강남구,2024Q4,601,분식전문점,0.0751,0.102,42,1.3779,0.0591,SNACK
11680,강남구,2025Q1,573,분식전문점,-0.0466,0.0666,-28,-0.3473,-0.0354,SNACK
11680,강남구,2025Q2,565,분식전문점,-0.014,0.0628,-8,-0.056,-0.0037,SNACK
11680,강남구,2025Q3,550,분식전문점,-0.0265,0.0389,-15,-0.3802,-0.0239,SNACK
11680,강남구,2025Q4,540,분식전문점,-0.0182,0.0455,-10,0.1674,0.0065,SNACK
11680,강남구,2023Q1,961,양식음식점,0.0,0.0,0,0.0,0.0,WESTERN
11680,강남구,2023Q2,1092,양식음식점,0.1363,0.0624,131,0.0,0.0,WESTERN
11680,강남구,2023Q3,1077,양식음식점,-0.0137,0.1026,-15,0.6427,0.0401,WESTERN
11680,강남구,2023Q4,1056,양식음식점,-0.0195,0.0706,-21,-0.312,-0.032,WESTERN
11680,강남구,2024Q1,1068,양식음식점,0.0114,0.0938,12,0.3285,0.0232,WESTERN
11680,강남구,2024Q2,1031,양식음식점,-0.0346,0.0534,-37,-0.4307,-0.0404,WESTERN
11680,강남구,2024Q3,979,양식음식점,-0.0504,0.0524,-52,-0.0186,-0.001,WESTERN
11680,강남구,2024Q4,1074,양식음식점,0.097,0.1083,95,1.0672,0.0559,WESTERN
11680,강남구,2025Q1,1037,양식음식점,-0.0345,0.0847,-37,-0.2174,-0.0235,WESTERN
11680,강남구,2025Q2,1015,양식음식점,-0.0212,0.0675,-22,-0.2033,-0.0172,WESTERN
11680,강남구,2025Q3,1022,양식음식점,0.0069,0.0562,7,-0.1681,-0.0113,WESTERN
11680,강남구,2025Q4,1045,양식음식점,0.0225,0.0382,23,-0.3205,-0.018,WESTERN
11680,강남구,2023Q1,794,일식음식점,0.0,0.0,0,0.0,0.0,JAPANESE
11680,강남구,2023Q2,878,일식음식점,0.1058,0.0479,84,0.0,0.0,JAPANESE
11680,강남구,2023Q3,896,일식음식점,0.0205,0.0957,18,0.999,0.0478,JAPANESE
11680,강남구,2023Q4,861,일식음식점,-0.0391,0.0837,-35,-0.1251,-0.012,JAPANESE
11680,강남구,2024Q1,868,일식음식점,0.0081,0.0999,7,0.1933,0.0162,JAPANESE
11680,강남구,2024Q2,850,일식음식점,-0.0207,0.0438,-18,-0.5617,-0.0561,JAPANESE
11680,강남구,2024Q3,825,일식음식점,-0.0294,0.0318,-25,-0.2744,-0.012,JAPANESE
11680,강남구,2024Q4,965,일식음식점,0.1697,0.04,140,0.2593,0.0082,JAPANESE
11680,강남구,2025Q1,910,일식음식점,-0.057,0.087,-55,1.1762,0.047,JAPANESE
11680,강남구,2025Q2,892,일식음식점,-0.0198,0.0549,-18,-0.3688,-0.0321,JAPANESE
11680,강남구,2025Q3,872,일식음식점,-0.0224,0.0561,-20,0.0202,0.0011,JAPANESE
11680,강남구,2025Q4,887,일식음식점,0.0172,0.0344,15,-0.3862,-0.0217,JAPANESE
11680,강남구,2023Q1,11182,전체,0.0,0.0,0,0.0,0.0,ALL
11680,강남구,2023Q2,12275,전체,0.0977,0.0625,1093,0.0,0.0,ALL
11680,강남구,2023Q3,12062,전체,-0.0174,0.1009,-213,0.6147,0.0384,ALL
11680,강남구,2023Q4,11918,전체,-0.0119,0.0668,-144,-0.338,-0.0341,ALL
11680,강남구,2024Q1,11782,전체,-0.0114,0.1072,-136,0.6048,0.0404,ALL
11680,강남구,2024Q2,11426,전체,-0.0302,0.052,-356,-0.5148,-0.0552,ALL
11680,강남구,2024Q3,10971,전체,-0.0398,0.0419,-455,-0.1943,-0.0101,ALL
11680,강남구,2024Q4,12670,전체,0.1549,0.1023,1699,1.4395,0.0603,ALL
11680,강남구,2025Q1,12222,전체,-0.0354,0.0942,-448,-0.0793,-0.0081,ALL
11680,강남구,2025Q2,11756,전체,-0.0381,0.0788,-466,-0.1632,-0.0154,ALL
11680,강남구,2025Q3,11850,전체,0.008,0.0501,94,-0.3641,-0.0287,ALL
11680,강남구,2025Q4,11968,전체,0.01,0.0369,118,-0.2639,-0.0132,ALL
11680,강남구,2023Q1,424,제과점,0.0,0.0,0,0.0,0.0,BAKERY
11680,강남구,2023Q2,472,제과점,0.1132,0.0802,48,0.0,0.0,BAKERY
11680,강남구,2023Q3,461,제과점,-0.0233,0.1229,-11,0.5324,0.0427,BAKERY
11680,강남구,2023Q4,460,제과점,-0.0022,0.0781,-1,-0.3645,-0.0448,BAKERY
11680,강남구,2024Q1,460,제과점,0.0,0.1087,0,0.3919,0.0306,BAKERY
11680,강남구,2024Q2,439,제과점,-0.0457,0.0609,-21,-0.44,-0.0478,BAKERY
11680,강남구,2024Q3,418,제과점,-0.0478,0.0501,-21,-0.1767,-0.0108,BAKERY
11680,강남구,2024Q4,494,제과점,0.1818,0.1244,76,1.4824,0.0743,BAKERY
